URL;Label;Class;Importation;Wiki;Dbpedia;Web;Définition;Synonyme;Voir;JLMonfort
http://isi.cbs.nl/glossary/term1292.htm;analyse de Fourier;AnalyseDeFourier;Non;;;;;;;
http://isi.cbs.nl/glossary/term2872.htm;écart quadratique moyen;EcartQuadratiqueMoyen;Concept;https://fr.wikipedia.org/wiki/Erreur_quadratique_moyenne;http://fr.dbpedia.org/page/Erreur_quadratique_moyenne;;;;;http://jeanalain.monfort.free.fr/Dicostat2005/E/Ecart_quadratique_moyen.pdf
http://isi.cbs.nl/glossary/term3134.htm;écart standardisé;EcartStandardise;Concept;https://fr.wikipedia.org/wiki/%C3%89cart_type#Variable_centr.C3.A9e_r.C3.A9duite;;;;Note centrée réduite, note Z;;
http://isi.cbs.nl/glossary/term2872.htm;écart type;EcartType;Concept;https://fr.wikipedia.org/wiki/%C3%89cart_type;http://fr.dbpedia.org/page/%C3%89cart_type;;;;;http://jeanalain.monfort.free.fr/Dicostat2005/E/Ecart_type.pdf
http://isi.cbs.nl/glossary/term2226.htm;analyse de la variance à plusieurs variable;AnalyseDeLaVarianceAPlusieursVariable;Non;;;;;;;
http://isi.cbs.nl/glossary/term453.htm;analyse de l'éventail;AnalyseDeLeventail;Non;;;;;;;
http://isi.cbs.nl/glossary/term2603.htm;analyse de profil;AnalyseDeProfil;Non;;;;;;;
http://isi.cbs.nl/glossary/term2619.htm;analyse de proximité;AnalyseDeProximite;Non;;;;;;;
http://isi.cbs.nl/glossary/term2555.htm;analyse de régression prédictive;AnalyseDeRegressionPredictive;Non;;;;;;;
http://isi.cbs.nl/glossary/term2945.htm;analyse de seconde ordre;AnalyseDeSecondeOrdre;Non;;;;;;;
http://isi.cbs.nl/glossary/term2965.htm;analyse de sensibilité;AnalyseDeSensibilite;Non;;;;;;;
http://isi.cbs.nl/glossary/term3246.htm;analyse de survie;AnalyseDeSurvie;Non;;;;;;;
http://isi.cbs.nl/glossary/term2432.htm;analyse des coefficients de direction;AnalyseDesCoefficientsDeDirection;Non;;;;;;;
http://isi.cbs.nl/glossary/term580.htm;analyse des conglomérats;AnalyseDesConglomerats;Non;;;;;;;
http://isi.cbs.nl/glossary/term779.htm;analyse des correspondances;AnalyseDesCorrespondances;Non;;;;;;;
http://isi.cbs.nl/glossary/term877.htm;analyse des données;AnalyseDesDonnees;Non;;;;;;;
http://isi.cbs.nl/glossary/term3472.htm;analyse des flux de variation;AnalyseDesFluxDeVariation;Non;;;;;;;
http://isi.cbs.nl/glossary/term2251.htm;analyse des plus proches voisins;AnalyseDesPlusProchesVoisins;Non;;;;;;;
http://isi.cbs.nl/glossary/term2552.htm;analyse des séries chronologiques (Wold);AnalyseDesSeriesChronologiquesWold;Non;;;;;;;
http://isi.cbs.nl/glossary/term1578.htm;analyse d'image;AnalyseDimage;Non;;;;;;;
http://isi.cbs.nl/glossary/term1690.htm;analyse d'intervention;AnalyseDintervention;Non;;;;;;;
http://isi.cbs.nl/glossary/term980.htm;analyse discriminante;AnalyseDiscriminante;Non;;;;;;;
http://isi.cbs.nl/glossary/term453.htm;analyse du faisceau (Frisch);AnalyseDuFaisceauFrisch;Non;;;;;;;
http://isi.cbs.nl/glossary/term666.htm;analyse en composantes;AnalyseEnComposantes;Non;;;;;;;
http://isi.cbs.nl/glossary/term1187.htm;analyse exploratoire des données;AnalyseExploratoireDesDonnees;Non;;;;;;;
http://isi.cbs.nl/glossary/term612.htm;écart-type relatif (en pourcentage de la moyenne);EcartTypeRelatif;Concept;;;;;Coefficient de variation;;
http://isi.cbs.nl/glossary/term2204.htm;analyse factorielle;AnalyseFactorielle;Non;;;;;;;
http://isi.cbs.nl/glossary/term717.htm;analyse factorielle confirmatoire;AnalyseFactorielleConfirmatoire;Non;;;;;;;
http://isi.cbs.nl/glossary/term411.htm;analyse factorielle de Boole;AnalyseFactorielleDeBoole;Non;;;;;;;
http://isi.cbs.nl/glossary/term779.htm;analyse factorielle des correspondances;AnalyseFactorielleDesCorrespondances;Non;;;;;;;
http://isi.cbs.nl/glossary/term1296.htm;analyse graphique de quantile;AnalyseGraphiqueDeQuantile;Non;;;;;;;
